daily,send,wd,jurisdiction,prefecturewd,countywd,censorship,realworldca
daily,0,0,countyIssue,0,0,0,0
daily,0,1,prefectureIssue,1,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,1,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,1,prefectureIssue,1,0,1,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,1,countyIssue,0,1,1,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,1,countyIssue,0,1,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
weekly,0,0,countyIssue,0,0,0,0
weekly,0,0,countyIssue,0,0,0,0
weekly,0,1,countyIssue,0,1,1,0
weekly,0,1,countyIssue,0,1,0,0
weekly,0,1,countyIssue,0,1,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,1,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,1,prefectureIssue,1,0,0,0
daily,0,1,prefectureIssue,1,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,1,1
daily,0,0,prefectureIssue,0,0,0,0
daily,0,1,prefectureIssue,1,0,0,1
daily,0,0,countyIssue,0,0,1,0
daily,0,0,prefectureIssue,0,0,1,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,1,countyIssue,0,1,0,0
daily,0,1,countyIssue,0,1,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,1,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,countyIssue,0,0,1,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,regionalIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,1,countyIssue,0,1,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,1,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,1,prefectureIssue,1,0,1,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,1,prefectureIssue,1,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,1,countyIssue,0,1,0,0
daily,0,1,prefectureIssue,1,0,0,0
daily,0,0,prefectureIssue,0,0,1,0
daily,0,0,countyIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
daily,0,1,countyIssue,0,1,0,0
daily,0,0,unclear,0,0,0,1
daily,0,0,prefectureIssue,0,0,0,0
daily,0,0,countyIssue,0,0,0,0
weekly,0,0,prefectureIssue,0,0,0,0
weekly,0,0,countyIssue,0,0,0,0
weekly,0,0,countyIssue,0,0,1,1
weekly,0,0,prefectureIssue,0,0,0,0
weekly,0,0,prefectureIssue,0,0,0,0
weekly,0,0,countyIssue,0,0,0,0
weekly,0,0,countyIssue,0,0,0,0
weekly,0,0,countyIssue,0,0,0,0
weekly,0,0,countyIssue,0,0,1,1
weekly,0,0,countyIssue,0,0,0,0
daily,0,0,prefectureIssue,0,0,0,0
weekly,0,0,prefectureIssue,0,0,0,0
weekly,0,0,prefectureIssue,0,0,0,0
weekly,0,1,countyIssue,0,1,1,0
weekly,0,0,countyIssue,0,0,1,0
weekly,0,0,countyIssue,0,0,1,0
weekly,0,0,countyIssue,0,0,1,0
