var,topic,short,question
CC25_321a,Gun control,Ban assault rifles,Ban assault rifles
CC25_321b,Gun control,Easier concealed carry,Make it easier for people to obtain concealed-carry permit
CC25_321c,Gun control,Background checks on all sales,Require criminal background checks on all gun sales
CC25_321d,Gun control,More police (+10%),"Increase the number of police on the street by 10 percent, even if it means fewer funds for other public services"
CC25_321e,Gun control,Fewer police (-10%),"Decrease the number of police on the street by 10 percent, and increase funding for other public services"
CC25_323a,Immigration,Legal status for long-term workers,"Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes"
CC25_323b,Immigration,More border patrols,Increase the number of border patrols on the US-Mexican border
CC25_323c,Immigration,Build border wall,Build a wall between the U.S. and Mexico
CC25_323d,Immigration,Permanent status for Dreamers,Provide permanent resident status to children of immigrants who were brought to the United States by their parents (also known as Dreamers)
CC25_326a,Environment,EPA regulates carbon,Give the Environmental Protection Agency power to regulate carbon dioxide emissions
CC25_326b,Environment,20% renewable electricity,Require that at least 20 percent of electricity be generated from renewable sources
CC25_326c,Environment,Strengthen EPA enforcement,Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act
CC25_326d,Environment,Increase fossil fuel production,Increase fossil fuel production in the U.S.
CC25_326e,Environment,Halt federal oil & gas leases,Halt new oil and gas leases on federal lands
CC25_328a,Health & housing,Relax local zoning,Relax local zoning laws in your state to allow for construction of more housing
CC25_328b,Health & housing,Tax incentives for housing,Expand federal tax incentives to encourage developers to build housing
CC25_328c,Health & housing,Medicaid work requirements,Require able-bodied adults under 64 years of age who do not have young children to work in order to qualify for Medicaid
CC25_328d,Health & housing,Repeal the ACA,Repeal the Affordable Care Act
CC25_328e,Health & housing,Extend ACA tax credits,Extending the Obamacare tax credits to help low and middle-income people pay for health insurance
CC25_340a,Congress,Confirm Hegseth (Defense),Confirm Pete Hegseth as the Secretary of Defense
CC25_340b,Congress,Confirm RFK Jr. (HHS),Confirm Robert F. Kennedy Jr. as the Secretary of Health and Human Services
CC25_340c,Congress,Detain immigrants charged w/ theft,Require detention of undocumented immigrants charged with theft-related crimes and allow states to sue the federal government for immigration failures
CC25_340d,Congress,Proof of citizenship to register,Require documentary proof of U.S. citizenship when registering to vote in federal elections
CC25_340e,Congress,Care for infants born alive,"Require medical care for infants born alive after attempted abortions, with criminal penalties for doctors who fail to provide care"
CC25_340f,Congress,2017 tax cut extension bill,A tax bill that would extend the 2017 tax cuts; eliminate taxes on tips and overtime; spend $140 billion on defense; strengthen food stamp work requirements; and cut federal Medicaid contributions by 16% over 10 years
CC25_340g,Congress,Cut $9.4bn in spending,"Cut $9.4 billion from previously allocated federal spending, including $8.3 billion from foreign aid and $1.1 billion from NPR and PBS public broadcasting"
CC25_342a,Trump 2nd term,End birthright citizenship,"End birthright citizenship, or automatic citizenship for infants born in the United States to parents who are in the country illegally or on temporary visas"
CC25_342b,Trump 2nd term,Travel ban (12 countries),"Ban individuals from 12 countries, including Afghanistan, Iran, Libya, Somalia, Sudan, and Yemen from entering the United States"
CC25_342c,Trump 2nd term,Withdraw from WHO,Withdraw the United States from the World Health Organization
CC25_342d,Trump 2nd term,Pardon Jan. 6 convictions,"Grant full pardons to approximately 1,500 people convicted of crimes related to the January 6, 2021 attack on the U.S. Capitol"
CC25_342e,Trump 2nd term,End federal work-from-home,End work-from-home arrangements for federal employees and require all government workers to return to their physical offices full-time
CC25_342f,Trump 2nd term,Rename Gulf of Mexico,Rename the Gulf of Mexico the Gulf of America
CC25_342g,Trump 2nd term,Strikes on Iran,Authorize unilateral United States military strikes on Iranian nuclear facilities
CC25_342h,Trump 2nd term,25% tariffs: Canada & Mexico,Impose 25% tariffs on imports from Canada and Mexico not covered by the existing free trade deal
CC25_342i,Trump 2nd term,Escalating tariffs on China,"Impose escalating tariffs on Chinese imports, starting at 10%, with rates reaching as high as 145%"
CC25_343a,Transgender issues,Ban gender-affirming care for minors,Make it illegal for health care professionals to provide someone younger than 18 with medical care for a gender transition
CC25_343b,Transgender issues,Limit classroom LGBT instruction,Prohibit classroom discussion or instruction on sexual orientation and identity in kindergarten to third grade or in older grades in a manner that is not age-appropriate
CC25_343c,Transgender issues,Protect access to transition,Prohibit local municipalities and other public bodies from interfering with a person's ability to obtain a gender transition operation
